name,symptom,drug
小螺菌感染,"['昏迷', '斑疹', '斑丘疹', '结节', '风团', '木僵', '乏力', '畏寒']",['诺氟沙星胶囊']
甲亢性心脏病,"['心脏复苏', '心力衰竭', '微循环障碍', '心悸伴消瘦、腹泻', '新陈代谢旺盛', '二尖瓣脱垂', '青春期甲亢', '心律失常', '心脏重量增加', '甲亢面容']","['阿替洛尔片', '丙硫氧嘧啶片', '盐酸普萘洛尔片', '甲巯咪唑片', '硫唑嘌呤片', '酒石酸美托洛尔片']"
会阴疝,"['大阴唇或肛门大...', '胀痛', '女阴会阴出现红...']","['十香暖脐膏', '济生橘核丸', '茴香橘核丸', '十香丸', '参桂理中丸', '小儿暖脐膏']"
腕枪刺状畸形,"['剧痛', '植物神经功能障碍']",['牛痘疫苗致炎兔皮提取物注射液']
甲良性肿瘤,"['肉芽肿', '结节', '放射性疼痛', '毓卓', '囊肿', '结痂']","['顺铂注射液', '小金丸', '五海瘿瘤丸', '夏枯草颗粒']"
惠普尔病,"['无力', '胸痛', '胃肠道症状', '呼吸困难', '腹泻', '衣玉品', '腹痛', '便秘', '低热', '恶心', '厌食']","['维生素B6片', '赖氨葡锌片', '葡萄糖酸锌颗粒', '赖氨葡锌颗粒', '葡萄糖酸锌片']"
剥脱性皮炎,"['脱症', '淋巴结肿大', '肝脾肿大', '口腔溃疡', '低热', '肝肿大', '睾丸萎缩', '低血压']","['曲安奈德益康唑乳膏', '咪康唑氯倍他索乳膏', '维生素B6片', '氧化锌软膏', '复方甘草酸苷片', '倍他米松片', '醋酸地塞米松片']"
火激红斑,['潮红潮热'],"['复方四环素泼尼松膜', '肝素钠维E乳膏', '甲泼尼龙片', '制剂中间体', '三乙醇胺乳膏', '门冬氨酸钙口服溶液', '注射用甲泼尼龙琥珀酸钠']"
小脑幕脑膜瘤,"['指鼻不准', '视野缺损', '偏盲', '小脑体征', '颅内压增高', '栗东', '眼球震颤']","['苦参碱氯化钠注射液', '甘露聚糖肽注射液', '注射用香菇多糖']"
甲内型甲真菌病,"['外伤性出血', '指甲厚脆且多裂纹', '手指发僵疼痛', '衣玉品', '脚趾甲内长']","['盐酸米诺环素胶囊', '头孢泊肟酯干混悬剂', '克霉唑溶液', '醋酸曲安奈德益康唑乳膏', '曲安奈德益康唑乳膏', '复方克霉唑乳膏', '头孢地尼分散片', '盐酸仑氨西林片', '夫西地酸乳膏', '克霉唑乳膏']"
单次发作抑郁症,"['痴呆', '便秘', '产后抑郁', '恶心', '褪黑色素增多', '反应迟钝']","['舒眠胶囊', '盐酸帕罗西汀片', '盐酸舍曲林片', '盐酸氟西汀胶囊', '盐酸氯米帕明片', '盐酸文拉法辛胶囊', '马来酸氟伏沙明片', '安乐片', '氟哌噻吨美利曲辛片', '脑力静胶囊', '逍遥丸', '苯妥英钠片']"
获得性循环抗凝物质增多症,"['毓卓', '出血倾向', '鼻出血']","['维生素K1注射液', '人凝血因子Ⅷ', '人纤维蛋白原', '醋酸甲萘氢醌片']"
小脑脑桥角脑膜瘤,"['声音嘶哑', '共济失调', '呛咳', '剧痛', '神经痛', '耳鸣', '脑桥小脑角综合征', '颅内压增高', '面部麻木', '角膜反射迟钝']","['苦参碱氯化钠注射液', '甘露聚糖肽注射液', '注射用香菇多糖']"
甲下外生骨疣,"['结节', '剧痛']","['顺铂注射液', '注射用氨磷汀', '强力康颗粒', '复方阿胶补血膏']"
撕脱骨折,[],"['骨折挫伤胶囊', '复方三七胶囊', '麝香接骨胶囊', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '跌打丸', '独一味颗粒', '骨肽片', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '舒筋活血胶囊', '跌打损伤丸']"
肌肉肌腱单位的急性损伤,"['局部可摸到肌腹...', '血肿形成', '剧痛', '肌肉完全断裂']","['关节止痛膏', '双氯芬酸钠肠溶片', '三七片', '吲哚美辛胶囊', '氯唑沙宗片']"
小提琴手颈部皮炎,"['凹陷瘢痕', '丘疹', '囊肿']","['曲安奈德益康唑乳膏', '咪康唑氯倍他索乳膏', '维生素B6片', '氧化锌软膏', '复方甘草酸苷片', '倍他米松片', '醋酸地塞米松片']"
甲型病毒性肝炎,"['昏迷', '上腹不适', '无力', '昏睡', '定向力障碍', '尿黄似浓茶', '畏寒', '腱反射亢进', '门体侧支循环', '扑翼样震颤']","['片仔癀胶囊', '鼻炎宁颗粒', '垂盆草颗粒', '茵栀黄颗粒', '胸腺肽肠溶片', '健肝灵胶囊', '益肝乐胶囊', '茵栀黄口服液', '葡醛内酯片', '利肝隆颗粒', '肝复康丸']"
植物神经功能障碍,"['失眠', '消化不良', '灾难反应']","['顺铂注射液', '苦参碱氯化钠注射液']"
肌张力障碍综合征,"['发作性睡眠', '肌张力降低', '自动Babin...', '儿童型肌张力障碍', '肌张力减低', '怪异步态', '构音障碍', '节段性肌张力障碍', '偏身肌张力障碍']","['三磷酸腺苷二钠片', '薄芝糖肽注射液', '维生素E软胶囊']"
甲状旁腺功能减退性心肌病,"['T波低平或倒置', '甲状旁腺机能减退', '心包积液', '幻觉', '四肢麻木', '烦躁不安', 'Q-T间期延长']","['益康胶囊', '左甲状腺素钠片', '甲状腺片']"
小腿动脉损伤,"['足背动脉搏动消失', '创伤', '小腿酸痛', '血肿形成', '腓肠肌痉挛性疼痛', '腓肠肌痉挛']",['己酮可可碱缓释片']
孤独症,"['儿童行为孤僻', '语言发育迟缓', '记忆力障碍', '自我残伤行为']",[]
积乳囊肿,"['胀痛', '腋窝痛']","['盐酸米诺环素胶囊', '炎立消胶囊', '左氧氟沙星片', '盐酸左氧氟沙星胶囊', '头孢氨苄胶囊', '丹参酮胶囊', '小金胶囊', '乳癖消片', '盐酸左氧氟沙星片', '牛黄清胃丸', '活血解毒丸']"
甲状旁腺功能减退症,"['四肢抽搐', '腹泻', '吞咽困难', '腹痛', '性欲减退', '便秘', '手足麻木', '抑郁', '心动过速']","['益康胶囊', '左甲状腺素钠片', '甲状腺片']"
痔核,"['发炎', '肠蠕动减慢', '便血', '便秘', '肛门疼痛']","['肛泰栓', '消痔栓', '鳖甲胶', '地奥司明片', '肛泰', '肛泰软膏', '复方角菜酸酯栓', '复方消痔栓', '醋酸氯己定痔疮栓', '槐角丸', '熊胆痔疮膏', '京万红软膏', '一清颗粒', '痔宁片', '金菊五花茶颗粒', '复方双金痔疮膏']"
小腿红绀病,"['小腿下部色素沉...', '冻疮', '轩存旺', '结节', '腓肠肌痉挛性疼痛', '指(趾)和小腿...']","['醋酸泼尼松片', '曲克芦丁口服溶液', '马栗种子提取物片', '曲安西龙片', '益脉康软胶囊']"
甲状旁腺功能亢进性心肌病,"['多饮', '腹胀', '便秘', '猝死', '乏力', '恶心', '多尿', '钙化']","['阿替洛尔片', '丙硫氧嘧啶片', '盐酸普萘洛尔片', '甲巯咪唑片', '硫唑嘌呤片', '酒石酸美托洛尔片']"
发育性骨盆异常,"['狭窄骨盆', '男型骨盆', '骨盆损伤', '骨产道异常', '偏斜骨盆']","['伤科接骨片', '复方骨肽注射液', '接骨续筋片', '止血镇痛胶囊']"
小网膜囊疝,"['气过水声', '肠鸣音消失', '恶心与呕吐', '休克', '肠鸣', '官爵银', '腹胀', '上腹部疼痛', '腹痛']","['十香暖脐膏', '济生橘核丸', '茴香橘核丸', '十香丸', '参桂理中丸', '小儿暖脐膏']"
甲状旁腺功能异常伴发的精神障碍,"['昏迷', '共济失调', '木僵', '颅压增高', '神志淡漠', '食欲减退', '便秘', '恶心', '幻听']","['对氨基水杨酸钙片', '丙硫氧嘧啶片']"
成人多动症,"['抑郁', '烦躁不安']","['地牡宁神口服液', '千金藤啶碱片', '多动宁胶囊', '盐酸哌甲酯缓释片', '参志胶囊', '静灵口服液', '盐酸托莫西汀胶囊', '盐酸哌甲酯片']"
基底细胞癌,"['颌骨囊肿', '生长缓慢', '智力发育迟缓', '结痂', '硬斑']","['重组人干扰素α2b注射液', '注射用重组人干扰素α2b', '重组人干扰素α-2b注射液', '酵母', '注射用重组人干扰素α2a']"
心包内恶性畸胎瘤,"['测试', '心前区隐痛', '心包填塞', '心包积液', '期外收缩', '心源性呼吸窘迫', '心动过速', '心电图异常']","['苦参碱氯化钠注射液', '强力康颗粒', '注射用硫酸长春新碱', '注射用异环磷酰胺']"
甲状腺功能减退症,"['面部水肿', '嗜睡', '疲乏', '表情淡漠', '食欲缺乏', '心动过缓', '便秘', '情感淡漠', '畏寒', '性欲减退']","['益康胶囊', '左甲状腺素钠片', '甲状腺片']"
吉特林综合征,"['反复感染', '反复上呼吸道感染']","['注射用头孢他啶', '注射用胸腺五肽', '注射用转移因子', '胸腺五肽注射液', '脾氨肽口服冻干粉', '胸腺肽肠溶片', '注射用更昔洛韦', 'pH4', '多糖蛋白片']"
舌炎,"['舌头出血', '舌痛', '舌体深裂', '口腔溃疡', '口干舌燥', '舌裂', '短缩舌']","['注射用盐酸博莱霉素', '甲氨蝶呤片', '注射用盐酸博来霉素', '羟基脲片', '注射用盐酸平阳霉素']"
心包切开术后综合征,"['胸痛', '岳晗', '心包炎', '血沉增快', '心包积液', '乏力', '术后发热', '心电图异常']",['硬脂酸红霉素片']
急性横贯性脊髓炎,"['脊髓休克', '感觉过敏', '呼吸困难', '脑膜刺激征', '呛咳', '尿失禁', '脊髓性间歇破行', '感觉障碍']","['益髓颗粒', '巴氯芬片', '注射用盐酸克林霉素', '钆双胺注射液']"
甲状腺功能亢进性骨矿疾病,"['骨质疏松', '骨痛', '身痛', '钙化', '乏力']","['阿替洛尔片', '丙硫氧嘧啶片', '盐酸普萘洛尔片', '甲巯咪唑片', '硫唑嘌呤片', '酒石酸美托洛尔片']"
足癣,"['鳞屑', '细菌感染', '丘疹', '肢端易发生不易...', '足癣', '脚痒', '脚后跟裂', '瘙痒']","['复方酮康唑乳膏', '硝酸咪康唑乳膏', '盐酸特比萘芬片', '酮康唑乳膏', '鞣柳硼三酸散', '咪康唑氯倍他索乳膏', '复方酮康唑软膏', '硝酸益康唑乳膏', '盐酸特比萘芬凝胶', '酞丁安乳膏', '水杨酸软膏', '联苯苄唑乳膏', '尿素乳膏', '曲咪新乳膏']"
心包胸腺瘤,"['心排血量减少', '无力', '休克', '心率增快', '颈静脉怒张', '心音遥远']","['顺铂注射液', '注射用顺铂', '平消片']"
急性化脓性脑膜炎,"['休克', '嗜睡', '呼吸困难', '仝超', '脑膜刺激征', '抽搐', '颅内压增高', '惊厥']","['奥硝唑氯化钠注射液', '注射用氨苄西林钠', '氯霉素片', '氯霉素注射液', '奥硝唑胶囊', '甲硝唑注射液']"
甲状腺功能亢进性心肌病,"['疲劳', '甲状腺肿大', '无力', '腹泻', '呼吸困难', '心动过速', '消瘦', '心悸', '肝脏肿大']","['阿替洛尔片', '丙硫氧嘧啶片', '盐酸普萘洛尔片', '甲巯咪唑片', '硫唑嘌呤片', '酒石酸美托洛尔片']"
丧偶后适应性障碍,['抑郁'],"['奋乃静注射液', '盐酸阿米替林片']"
心动过速性心肌病,"['休克', '心力衰竭', '晕厥', '去首高血压', '心跳很乱', '胸闷', '心律失常', '心动过速', '心脏扩大', '心悸']","['滋心阴胶囊', '氯化钾片', '天王补心丸', '心可舒胶囊', '七叶神安片', '盐酸普萘洛尔片', '振源胶囊', '黄杨宁片', '门冬氨酸钾镁片', '氯化钾缓释片', '苯妥英钠片', '降脂宁颗粒', '参芍片']"
痢疾,"['腹痛伴便血', '大便异常', '腹泻', '粥样泻', '腹痛', '粪便黑色并带有血液', '惊厥']","['盐酸左氧氟沙星胶囊', '诺氟沙星片', '穿心莲内酯片', '盐酸左氧氟沙星片', '乳酸左氧氟沙星片']"
甲状腺功能亢进症的肾损害,"['眼压升高', '卧床不起', '眼球突出', '低蛋白血症', '心动过速', '消化不良', '心脏扩大', '心绞痛']","['阿替洛尔片', '丙硫氧嘧啶片', '盐酸普萘洛尔片', '甲巯咪唑片', '硫唑嘌呤片', '酒石酸美托洛尔片']"
心-耳综合征,"['耳聋', '胸闷', '心律失常', '抽搐', '发绀', '恶心', '意识丧失', '眩晕', '心悸', 'Q-T间期延长']",['尼莫地平缓释胶囊']
急性化脓性胃炎,"['寒战', '休克', '急腹症', '肠鸣', '腹泻', '腹胀', '黑便', '上腹部疼痛', '腹痛', '恶心']","['盐酸雷尼替丁胶囊', '奥美拉唑肠溶胶囊', '硫糖铝咀嚼片', '碳酸氢钠片', '丙谷胺片']"
信息成瘾,"['失眠', '呕吐', '烦躁不安', '食欲较差', '恶心']","['天草颗粒', '益安回生口服液', '盐酸可乐定滴丸', '盐酸硫必利氯化钠注射液', '济泰片', '福康片', '盐酸可乐定片', '盐酸苯氨咪唑啉片', '灵益胶囊', '盐酸纳曲酮片', '扶正康颗粒']"
甲状腺功能异常伴发的精神障碍,"['昏迷', '闫铁', '共济失调', '木僵', '颅压增高', '神志淡漠', '食欲减退', '便秘', '恶心', '幻听']","['对氨基水杨酸钙片', '丙硫氧嘧啶片']"
心房颤动,"['心跳加快', '心肌梗死', '胸闷', '乏力', '心律失常', '心动过速', '心慌', '心悸', '心绞痛', '脑缺氧']","['阿司匹林肠溶片', '阿司匹林肠溶胶囊', '盐酸胺碘酮片', '盐酸普萘洛尔片', '盐酸维拉帕米片', '尼可地尔片']"
急性酒中毒,"['手唇震颤', '覃初丹', '复杂性醉酒', '定向力障碍', '酒悖', '病理性醉酒', '恶心', '复视', '被害妄想']","['果糖二磷酸钠注射液', '盐酸纳洛酮注射液', '盐酸甲氯芬酯胶囊', '盐酸纳洛酮舌下片', '甲硫氨酸维B1注射液', '盐酸硫必利片', '美他多辛胶囊', '乙酰谷酰胺注射液', '注射用果糖二磷酸钠', '注射用还原型谷胱甘肽']"
胸廓畸形,"['液气胸', '肋骨融合', '桶状胸', '胸膜粘连', '脓胸', '肺不张', '肺纤维化', '呼吸道狭窄', '心脏扩大']","['氢化可的松注射液', '注射用阿洛西林钠', '氢化泼尼松注射液', '清肺十八味丸']"
甲状腺结核,"['营养师', '甲状腺肿', '食欲减退', '盗汗', '乏力', '低热', '钙化', '弛张热', '分娩后甲状腺肿大', '脓肿']","['对氨基水杨酸钙片', '丙硫氧嘧啶片']"
心房内传导阻滞,"['三尖瓣脱垂', '心跳很乱', '心慌气短', '胸闷', '气短', '猝死', '不完全性房内阻滞']","['乌龙养血胶囊', '盐酸利多卡因注射液', '宁心宝胶囊', '硫酸阿托品注射液']"
急性粒细胞缺乏,"['寒战', '畏寒']","['盐酸左氧氟沙星片', '维生素B4片']"
遗传性肥胖,"['男性型肥胖', '动脉粥样硬化', '继发性肥胖', '糖尿', '闭经']","['轻身消胖丸', '奥利司他片', '降脂减肥片', '降脂通便胶囊', '轻身减肥片', '盐酸西布曲明胶囊', '轻身减肥胶囊', '排毒清脂胶囊', '排毒清脂片', '奥利司他胶囊']"
贾第虫病,"['恶心与呕吐', '稀便', '腹胀', '上腹部疼痛', '食欲减退', '腹痛', '乏力', '低热', '胃肠道症状', '嗳气']","['吡喹酮片', '阿苯达唑片']"
心房内折返性心动过速,"['传导阻滞', '衣玉品', '胸闷', '心动过速', '心悸']","['盐酸阿普林定片', '心肝宝胶囊']"
急性淋巴细胞白血病,"['脾肿大', '颅内出血', '阴道出血', '牙龈出血', '肝肿大', '鼻出血']","['醋酸地塞米松片', '依托泊苷软胶囊', '醋酸泼尼松龙片', '醋酸泼尼松片', '注射用盐酸表柔比星', '甘露聚糖肽片', '硫唑嘌呤片', '倍他米松片']"
表演型人格障碍,"['抑郁', '情绪起伏大']","['碳酸锂缓释片', '盐酸氟西汀胶囊', '盐酸氯丙嗪注射液', '氯氮平片', '碳酸锂片']"
心房扑动,"['心力衰竭', '呼吸困难', '三尖瓣脱垂', '胸闷', '头晕', '假日心脏综合征', '心悸', '心绞痛']","['盐酸胺碘酮片', '盐酸普萘洛尔片', '盐酸索他洛尔片', '盐酸维拉帕米片', '地高辛片']"
急性咽炎,"['喉部淋巴滤泡增生', '食欲不振', '咽喉干燥及灼热感']","['阿奇霉素胶囊', '溶菌酶含片', '阿奇霉素分散片', '板蓝根颗粒', '阿奇霉素片']"
病理性REM睡眠,"['睡眠麻痹', '婴儿睡觉不踏实', '嗜睡']","['戊酸雌二醇片', '婴儿健脾颗粒', '豆腐果苷片', '刺五加脑灵胶囊', '盐酸文拉法辛缓释胶囊', '戊酸雌二醇片/雌二醇环丙孕酮片复合包装']"
心肌桥,"['心肌缺血', '心肌梗死', '心肌肥厚', '动脉粥样硬化', '心律失常', '心电图异常', '心绞痛']","['转移因子胶囊', '滋心阴胶囊', '三磷酸腺苷二钠片', '辅酶Q10胶囊', '复方二氯醋酸二异丙胺片', '辅酶Q10片', '门冬氨酸钾镁片', '参龙宁心胶囊', '心欣舒胶囊', '软脉灵口服液', '屏风生脉胶囊']"
假斑秃,"['鳞屑', '斑秃', '脓疱', '角栓', '脱发', '风盛血燥', '结痂']","['荣发胶囊', '非那雄胺片', '米诺地尔搽剂', '滋补生发片', '斑秃丸', '固肾生发丸', '养血生发胶囊', '除脂生发片', '生发丸', '复方甘草酸苷片', '参归生发酊', '胱氨酸片', '复方甘草酸苷胶囊']"
传导性腹痛,"['胸痛', '孕中期腹痛', '呼吸困难', '腹痛', '呼吸急促']","['藿香正气水', '藿香正气丸', '鞣酸蛋白片', '盐酸小檗碱片', '化积口服液', '补中益气颗粒', '藿香正气片', '氯化钾缓释片', '藿香正气胶囊']"
急性硬脑膜下血肿,"['昏迷', '深昏迷', '意识障碍', '颅内压增高', '血管硬化']",[]
心脏乳头样弹性纤维瘤,"['心脏杂音', '心肌梗死', '心力衰竭', '丛伊可', '脑缺血', '冠状动脉栓塞', '心律失常', '低热', '心绞痛']","['复方阿胶补血膏', '苦参碱氯化钠注射液', '强力康颗粒']"
假性高血压,"['四肢血压脉搏不对称', '情绪性高血压', '血压高']","['奥美沙坦酯片', '替米沙坦片', '氯沙坦钾氢氯噻嗪片', '呋塞米片', '苯磺酸氨氯地平片', '马来酸氨氯地平片', '苯磺酸氨氯地平胶囊', '缬沙坦胶囊', '盐酸普萘洛尔片', '厄贝沙坦片', '地巴唑片', '羟苯磺酸钙胶囊', '复方利血平片', '盐酸贝那普利片', '七十味珍珠丸', '缬沙坦分散片', '氯沙坦钾片']"
脊髓分裂症,"['下肢肌肉瘫痪', '脊髓半切综合征', '颈髓硬膜外病变']",[]
β-氨基酸尿,"['少尿', '小脑性共济失调']","['阿奇霉素胶囊', '阿奇霉素分散片', '诺氟沙星胶囊', '阿奇霉素片', '乳酸左氧氟沙星片']"
心脏脂肪瘤,"['非感染性发热', '血沉增快', '心音微弱', '气短', '心律失常', '心绞痛']",[]
脊椎化脓性骨髓炎,"['背痛', '卧床不起', '丛伊可', '骨硬化', '低热', '畏寒', '毒血症', '腰背痛']","['甲磺酸左氧氟沙星片', '盐酸左氧氟沙星胶囊', '盐酸左氧氟沙星分散片', '盐酸左氧氟沙星片', '盐酸克林霉素胶囊', '盐酸克林霉素棕榈酸酯分散片', '盐酸环丙沙星片', '氧氟沙星片', '乳酸左氧氟沙星片']"
气压伤,"['昏迷', '耳鼓膜穿孔', '衣玉品', '内出血', '耳鸣', '瘀斑', '软组织肿胀']","['阿奇霉素片', '阿奇霉素分散片', '阿奇霉素胶囊', '诺氟沙星胶囊']"
心脏直视手术所致神经疾病,"['昏迷', '心力衰竭', '共济失调', '视力障碍', '偏盲', '幻觉', '抽搐', '瞳孔异常', '复视', '感觉障碍']","['消瘀康片', '脑血康滴丸', '脑血康片', '二乙酰氨乙酸乙二胺氯化钠注射液', '脑血康丸', '脑血康口服液', '消瘀康胶囊', '脑血康胶囊']"
内分泌功能亢进,"['消瘦', '多汗症']","['对氨基水杨酸钙片', '丙硫氧嘧啶片']"
假麦格综合征,"['腹腔积液', '血性腹水', '腹水']","['奥硝唑氯化钠注射液', '克林霉素磷酸酯注射液', '盐酸克林霉素棕榈酸酯颗粒', '氯霉素片', '盐酸莫西沙星氯化钠注射液', '甲硝唑氯化钠注射液', '盐酸克林霉素氯化钠注射液']"
心脏骤停与心肺脑复苏,"['肛门括约肌松弛', '颈动脉搏动减弱或消失', '心脏失代偿', '突发的右侧心衰', '抽搐', '猝死', '发绀', '瞳孔异常', '心悸', '心室纤颤']","['阿替洛尔片', '阿司匹林肠溶片', '盐酸普萘洛尔片', '辛伐他汀片', '双嘧达莫片', '酒石酸美托洛尔片']"
假性黑棘皮病,"['骶部可有皮赘，...', '衣玉品', '浅棕色斑点']","['尿素软膏', '维胺酯胶丸', '维A酸乳膏', '维生素A软胶囊']"
假性肠梗阻,"['肠鸣', '蛔虫性肠梗阻', '恶病质', '腹泻', '吞咽困难', '腹痛', '便秘', '恶心', '肠胀气']",['西沙必利片']
糙皮病样皮疹,"['氨基酸尿症', '小脑性共济失调']","['糠酸莫米松乳膏', '哈西奈德乳膏', '创灼膏', '肤痒颗粒', '曲安奈德益康唑乳膏', '咪康唑氯倍他索乳膏', '肝素钠乳膏', '丙酸氟替卡松乳膏', '防风通圣丸', '盐酸异丙嗪片', '曲咪新乳膏', '醋酸氟轻松乳膏', '马来酸氯苯那敏片']"
心脏转移瘤,"['心肌梗死', '心力衰竭', '心包填塞', '心包积液', '心脏转移', '心律失常', '猝死', '心绞痛', '心脏破裂']","['苦参碱氯化钠注射液', '强力康颗粒', '注射用硫酸长春新碱', '注射用异环磷酰胺']"
肩峰下滑囊炎,"['囊肿', '结节', '肌肉萎缩']","['布洛芬缓释混悬液', 'Ⅰ', '布洛芬缓释胶囊', '双氯芬酸钠肠溶片', '复方水杨酸甲酯乳膏', '双氯芬酸二乙胺凝胶', '布洛芬片', '双氯芬酸钠缓释片', '吲哚美辛胶囊', '依托芬那酯凝胶']"
心脏转移性恶性黑色素瘤,"['心肌梗死', '呼吸困难', '心包炎', '心包填塞', '收缩期杂音', '心包积液', '衣玉品', '心包转移', '心动过速']","['注射用硫酸长春新碱', '125Ala注射液', '注射用重组人干扰素α2b', '注射用达卡巴嗪', '司莫司汀胶囊', '125Ala', '注射用盐酸米托蒽醌', '注射用硫酸长春地辛', '重组人干扰素α-2b注射液', '注射用重组人白介素-2', '羟基脲片', '假单胞菌', '注射用重组人干扰素α2a']"
肩峰下撞击征,"['肌腱断裂', '撞击征']","['盐酸米诺环素胶囊', '布洛芬缓释混悬液', '奥沙普秦肠溶片', '吡罗昔康片', '麝香壮骨膏', '洛索洛芬钠胶囊', '氨糖美辛肠溶片', '双氯芬酸二乙胺凝胶', '布洛芬片', '骨痛灵酊', '解痉镇痛酊', '青鹏软膏', '消炎镇痛膏']"
先天性X因子缺乏,"['反复出血', '血肿形成']",[]
肩关节周围炎,"['兰瑞', '岳晗', '肩胛骨痛', '结节', '冻结肩']","['盐酸米诺环素胶囊', '布洛芬缓释混悬液', '奥沙普秦肠溶片', '吡罗昔康片', '麝香壮骨膏', '洛索洛芬钠胶囊', '氨糖美辛肠溶片', '双氯芬酸二乙胺凝胶', '布洛芬片', '骨痛灵酊', '解痉镇痛酊', '青鹏软膏', '消炎镇痛膏']"
肩关节不稳定,"['疲劳', '结节', '肩部劳损', '乏力', '肌肉萎缩']","['跳骨片', '灵仙跌打片']"
锌及其化合物引起的皮肤病,"['丘疹', '腹痛', '胸闷', '头昏', '恶心', '瘙痒']","['曲安奈德益康唑乳膏', '咪康唑氯倍他索乳膏', '维生素B6片', '氧化锌软膏', '复方甘草酸苷片', '倍他米松片', '醋酸地塞米松片']"
先天性少白头,['青少年白发'],"['米诺地尔喷雾剂', '醋酸环丙孕酮片', '米诺地尔搽剂', '滋补生发片', '复方人参间苯二酚搽剂', '除脂生发片', '固肾生发丸', '复方斯亚旦生发酊', '六味防脱生发酊']"
新生儿B链球菌感染,"['昏迷', '菌血症', '面色青紫', '鼻煽', '泌尿系感染', '败血症', '呼吸急促', '肺血增多', '脑膜炎', '惊厥']",[]
营养代谢缺乏,"['营养不良性水肿', '消瘦', '营养障碍']","['维生素B6片', '赖氨葡锌片', '葡萄糖酸锌颗粒', '赖氨葡锌颗粒', '葡萄糖酸锌片']"
新生儿Rh血型不合溶血病,"['颅内出血', '肝脾肿大', '死胎', '胎儿水肿', '腹水', '心包积液', '凝血障碍']",[]
肩胛背神经卡压症,"['手臂发麻', '无力', '手麻', '背部酸痛']",['甲钴胺分散片']
肩锁关节脱位,"['肩节后脱位', '韧带断裂', '钙化']",[]
心脏淤积淀粉样物质,"['心脏杂音', '心率不齐']","['滋心阴胶囊', '琥乙红霉素片', '依托红霉素颗粒', '琥乙红霉素颗粒', '依托红霉素片']"
新生儿Wilson-Mikity综合征,"['低氧血症', '心力衰竭', '新生儿喉喘鸣', '三凹征', '呼吸困难', '发绀']","['盐酸溴己新葡萄糖注射液', '注射用盐酸氨溴索', '盐酸氨溴索注射液', '盐酸氨溴索葡萄糖注射液', '猪肺磷脂注射液']"
埃可病毒疹,"['疱疹', '斑丘疹', '腹泻', '恶心', '脑膜炎']","['青鹏膏剂', '阿昔洛韦乳膏', '利巴韦林片', '连翘败毒片', '阿昔洛韦凝胶', '利巴韦林含片', '化毒丹', '盐酸吗啉胍片', '阿昔洛韦缓释片']"
肩胛骨体部骨折,"['肩关节活动受限', '凝肩', '剧痛']","['骨折挫伤胶囊', '复方三七胶囊', '跌打损伤丸', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '骨肽片', '独一味颗粒', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '八味秦皮丸', '舒筋活血胶囊', '鹿瓜多肽注射液']"
高睾酮血症,"['不排卵', '异常子宫出血', '男性化', '肥胖', '月经稀少', '阴蒂肥大', '乳腺发育不良', '闭经']","['氨苯蝶啶片', '螺内酯片', '螺内酯胶囊']"
腱病,['腱或腱止点处增...'],"['关节止痛膏', '双氯芬酸钠肠溶片', '三七片', '吲哚美辛胶囊', '氯唑沙宗片']"
新生儿出血症,"['颅内出血', '休克', '阴道出血', '新生儿脐部出血', '尿血', '便血', '瘀斑', '胃肠道出血', '腹腔出血', '鼻出血']","['亚硫酸氢钠甲萘醌注射液', '维生素K1注射液']"
肩胛颈及肩胛盂骨折,[],"['骨折挫伤胶囊', '复方三七胶囊', '跌打损伤丸', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '骨肽片', '独一味颗粒', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '八味秦皮丸', '舒筋活血胶囊', '鹿瓜多肽注射液']"
低氯性碱中毒,"['嗜睡', '低钾血症', '谵妄', '手足麻木', '脱水']","['布美他尼片', '十一味金色丸', '注射用布美他尼', '注射用呋塞米', '盐酸利多卡因注射液', '注射用硫代硫酸钠', '大月晶丸', '仁青芒觉', '注射用鼠神经生长因子', '地塞米松磷酸钠注射液']"
浆细胞白血病,"['意识障碍', '淋巴结肿大']","['醋酸地塞米松片', '依托泊苷软胶囊', '醋酸泼尼松龙片', '醋酸泼尼松片', '注射用盐酸表柔比星', '甘露聚糖肽片', '硫唑嘌呤片', '倍他米松片']"
肩胛上神经卡压症,"['创伤', '钝痛']",['甲钴胺分散片']
新生儿单纯疱疹病毒感染,"['脾肿大', '疱疹', '昏迷', '休克', '呼吸衰竭', '嗜睡', '小头', '小眼球', '钙化', '结痂']","['盐酸甲氯芬酯胶囊', '地塞米松磷酸钠注射液']"
浆细胞性唇炎,"['口唇渗液', '口腔黏膜溃疡', '结痂']","['醋酸泼尼松龙注射液', '维生素B2注射液', '复方甘菊利多卡因凝胶', '核黄素磷酸钠注射液']"
